-0.77316	0.28567	0.017767
-4.8224	1.6822	0.10292
-14.831	4.8235	0.28549
-31.16	9.4112	0.52524
-51.693	14.639	0.74972
-72.832	19.773	0.92481
-90.239	24.188	1.0977
-99.662	27.224	1.3999
-98.058	28.156	2.0078
-84.669	26.406	3.0739
-61.428	21.861	4.6565
-32.334	15.052	6.6945
-2.1056	7.0739	9.035
25.081	-0.71689	11.476
46.223	-7.1135	13.785
59.53	-11.435	15.708
64.337	-13.705	16.983
61.187	-14.481	17.396
51.904	-14.32	16.843
39.279	-13.188	15.37
26.295	-10.288	13.188
15.23	-4.5128	10.625
7.1434	4.7632	8.0617
2.0316	17.125	5.8534
-0.47534	31.196	4.2596
-0.37665	45.264	3.3658
2.9436	57.955	3.0412
10.264	68.553	2.9672
21.66	76.834	2.74
35.834	82.658	2.0098
50.161	85.642	0.60488
61.521	85.131	-1.4224
67.454	80.451	-3.8462
67.052	71.235	-6.3605
61.182	57.643	-8.6576
52.071	40.366	-10.481
42.458	20.485	-11.657
34.685	-0.71972	-12.109
30.015	-21.923	-11.865
28.38	-41.852	-11.052
28.559	-59.378	-9.8662
28.675	-73.612	-8.5426
26.812	-84.037	-7.333
21.593	-90.607	-6.4814
12.632	-93.738	-6.1738
0.75917	-94.12	-6.4789
-12.099	-92.468	-7.3178
-23.433	-89.33	-8.4824
-30.929	-85.104	-9.7078
-33.213	-80.18	-10.767
-30.254	-75.09	-11.533
-23.3	-70.48	-11.952
-14.366	-66.876	-11.956
-5.4813	-64.387	-11.411
2.0402	-62.539	-10.157
8.0075	-60.403	-8.1287
13.191	-56.896	-5.4714
18.604	-51.121	-2.556
24.605	-42.587	0.11395
30.36	-31.316	2.0728
34.043	-17.836	3.0459
33.664	-3.1027	3.0072
28.021	11.673	2.1448
17.208	25.273	0.77791
2.4311	36.738	-0.74378
-14.62	45.522	-2.1181
-32.372	51.467	-3.1281
-49.643	54.65	-3.6564
-65.589	55.246	-3.6938
-79.522	53.473	-3.3372
-90.736	49.621	-2.7607
-98.376	44.132	-2.1651
-101.41	37.696	-1.7333
-98.795	31.284	-1.5984
-89.819	26.063	-1.8145
-74.535	23.145	-2.3289
-53.986	23.231	-2.9759
-30.092	26.339	-3.5073
-5.2301	31.75	-3.647
18.306	38.196	-3.1574
38.74	44.216	-1.8997
55.004	48.486	0.12312
66.678	50.004	2.743
73.771	48.17	5.6244
76.428	42.835	8.317
74.744	34.321	10.373
68.781	23.384	11.483
58.777	11.065	11.556
45.401	-1.5473	10.713
29.865	-13.532	9.2185
13.788	-24.253	7.3939
-1.1989	-33.379	5.574
-13.969	-40.853	4.0712
-24.267	-46.822	3.1127
-32.648	-51.533	2.7592
-39.919	-55.171	2.8571
-46.364	-57.721	3.0816
-51.332	-58.913	3.0705
-53.562	-58.284	2.5914
-52.088	-55.334	1.6459
-47.05	-49.704	0.44024
-39.802	-41.323	-0.74627
-32.236	-30.456	-1.7005
-25.793	-17.585	-2.3509
-20.825	-3.19	-2.7477
-16.663	12.348	-2.9689
-12.251	28.601	-3.0369
-6.883	44.803	-2.9156
-0.62781	59.717	-2.5762
5.7402	71.863	-2.0705
11.141	80.042	-1.5637
14.656	83.823	-1.3092
15.861	83.695	-1.5866
14.982	80.793	-2.6377
12.878	76.404	-4.6156
10.828	71.535	-7.5324
10.141	66.707	-11.201
11.667	61.973	-15.195
15.46	57.036	-18.891
20.741	51.411	-21.619
26.209	44.592	-22.877
30.556	36.223	-22.502
